Permissions string, Octal
 ---------T , 1000
 ---------t , 1001
 --------wT , 1002
 --------wt , 1003
 -------r-T , 1004
 -------r-t , 1005
 -------rwT , 1006
 -------rwt , 1007
 ------x--T , 1010
 ------x--t , 1011
 ------x-wT , 1012
 ------x-wt , 1013
 ------xr-T , 1014
 ------xr-t , 1015
 ------xrwT , 1016
 ------xrwt , 1017
 -----w---T , 1020
 -----w---t , 1021
 -----w--wT , 1022
 -----w--wt , 1023
 -----w-r-T , 1024
 -----w-r-t , 1025
 -----w-rwT , 1026
 -----w-rwt , 1027
 -----wx--T , 1030
 -----wx--t , 1031
 -----wx-wT , 1032
 -----wx-wt , 1033
 -----wxr-T , 1034
 -----wxr-t , 1035
 -----wxrwT , 1036
 -----wxrwt , 1037
 ----r----T , 1040
 ----r----t , 1041
 ----r---wT , 1042
 ----r---wt , 1043
 ----r--r-T , 1044
 ----r--r-t , 1045
 ----r--rwT , 1046
 ----r--rwt , 1047
 ----r-x--T , 1050
 ----r-x--t , 1051
 ----r-x-wT , 1052
 ----r-x-wt , 1053
 ----r-xr-T , 1054
 ----r-xr-t , 1055
 ----r-xrwT , 1056
 ----r-xrwt , 1057
 ----rw---T , 1060
 ----rw---t , 1061
 ----rw--wT , 1062
 ----rw--wt , 1063
 ----rw-r-T , 1064
 ----rw-r-t , 1065
 ----rw-rwT , 1066
 ----rw-rwt , 1067
 ----rwx--T , 1070
 ----rwx--t , 1071
 ----rwx-wT , 1072
 ----rwx-wt , 1073
 ----rwxr-T , 1074
 ----rwxr-t , 1075
 ----rwxrwT , 1076
 ----rwxrwt , 1077
 ---x-----T , 1100
 ---x-----t , 1101
 ---x----wT , 1102
 ---x----wt , 1103
 ---x---r-T , 1104
 ---x---r-t , 1105
 ---x---rwT , 1106
 ---x---rwt , 1107
 ---x--x--T , 1110
 ---x--x--t , 1111
 ---x--x-wT , 1112
 ---x--x-wt , 1113
 ---x--xr-T , 1114
 ---x--xr-t , 1115
 ---x--xrwT , 1116
 ---x--xrwt , 1117
 ---x-w---T , 1120
 ---x-w---t , 1121
 ---x-w--wT , 1122
 ---x-w--wt , 1123
 ---x-w-r-T , 1124
 ---x-w-r-t , 1125
 ---x-w-rwT , 1126
 ---x-w-rwt , 1127
 ---x-wx--T , 1130
 ---x-wx--t , 1131
 ---x-wx-wT , 1132
 ---x-wx-wt , 1133
 ---x-wxr-T , 1134
 ---x-wxr-t , 1135
 ---x-wxrwT , 1136
 ---x-wxrwt , 1137
 ---xr----T , 1140
 ---xr----t , 1141
 ---xr---wT , 1142
 ---xr---wt , 1143
 ---xr--r-T , 1144
 ---xr--r-t , 1145
 ---xr--rwT , 1146
 ---xr--rwt , 1147
 ---xr-x--T , 1150
 ---xr-x--t , 1151
 ---xr-x-wT , 1152
 ---xr-x-wt , 1153
 ---xr-xr-T , 1154
 ---xr-xr-t , 1155
 ---xr-xrwT , 1156
 ---xr-xrwt , 1157
 ---xrw---T , 1160
 ---xrw---t , 1161
 ---xrw--wT , 1162
 ---xrw--wt , 1163
 ---xrw-r-T , 1164
 ---xrw-r-t , 1165
 ---xrw-rwT , 1166
 ---xrw-rwt , 1167
 ---xrwx--T , 1170
 ---xrwx--t , 1171
 ---xrwx-wT , 1172
 ---xrwx-wt , 1173
 ---xrwxr-T , 1174
 ---xrwxr-t , 1175
 ---xrwxrwT , 1176
 ---xrwxrwt , 1177
 --w------T , 1200
 --w------t , 1201
 --w-----wT , 1202
 --w-----wt , 1203
 --w----r-T , 1204
 --w----r-t , 1205
 --w----rwT , 1206
 --w----rwt , 1207
 --w---x--T , 1210
 --w---x--t , 1211
 --w---x-wT , 1212
 --w---x-wt , 1213
 --w---xr-T , 1214
 --w---xr-t , 1215
 --w---xrwT , 1216
 --w---xrwt , 1217
 --w--w---T , 1220
 --w--w---t , 1221
 --w--w--wT , 1222
 --w--w--wt , 1223
 --w--w-r-T , 1224
 --w--w-r-t , 1225
 --w--w-rwT , 1226
 --w--w-rwt , 1227
 --w--wx--T , 1230
 --w--wx--t , 1231
 --w--wx-wT , 1232
 --w--wx-wt , 1233
 --w--wxr-T , 1234
 --w--wxr-t , 1235
 --w--wxrwT , 1236
 --w--wxrwt , 1237
 --w-r----T , 1240
 --w-r----t , 1241
 --w-r---wT , 1242
 --w-r---wt , 1243
 --w-r--r-T , 1244
 --w-r--r-t , 1245
 --w-r--rwT , 1246
 --w-r--rwt , 1247
 --w-r-x--T , 1250
 --w-r-x--t , 1251
 --w-r-x-wT , 1252
 --w-r-x-wt , 1253
 --w-r-xr-T , 1254
 --w-r-xr-t , 1255
 --w-r-xrwT , 1256
 --w-r-xrwt , 1257
 --w-rw---T , 1260
 --w-rw---t , 1261
 --w-rw--wT , 1262
 --w-rw--wt , 1263
 --w-rw-r-T , 1264
 --w-rw-r-t , 1265
 --w-rw-rwT , 1266
 --w-rw-rwt , 1267
 --w-rwx--T , 1270
 --w-rwx--t , 1271
 --w-rwx-wT , 1272
 --w-rwx-wt , 1273
 --w-rwxr-T , 1274
 --w-rwxr-t , 1275
 --w-rwxrwT , 1276
 --w-rwxrwt , 1277
 --wx-----T , 1300
 --wx-----t , 1301
 --wx----wT , 1302
 --wx----wt , 1303
 --wx---r-T , 1304
 --wx---r-t , 1305
 --wx---rwT , 1306
 --wx---rwt , 1307
 --wx--x--T , 1310
 --wx--x--t , 1311
 --wx--x-wT , 1312
 --wx--x-wt , 1313
 --wx--xr-T , 1314
 --wx--xr-t , 1315
 --wx--xrwT , 1316
 --wx--xrwt , 1317
 --wx-w---T , 1320
 --wx-w---t , 1321
 --wx-w--wT , 1322
 --wx-w--wt , 1323
 --wx-w-r-T , 1324
 --wx-w-r-t , 1325
 --wx-w-rwT , 1326
 --wx-w-rwt , 1327
 --wx-wx--T , 1330
 --wx-wx--t , 1331
 --wx-wx-wT , 1332
 --wx-wx-wt , 1333
 --wx-wxr-T , 1334
 --wx-wxr-t , 1335
 --wx-wxrwT , 1336
 --wx-wxrwt , 1337
 --wxr----T , 1340
 --wxr----t , 1341
 --wxr---wT , 1342
 --wxr---wt , 1343
 --wxr--r-T , 1344
 --wxr--r-t , 1345
 --wxr--rwT , 1346
 --wxr--rwt , 1347
 --wxr-x--T , 1350
 --wxr-x--t , 1351
 --wxr-x-wT , 1352
 --wxr-x-wt , 1353
 --wxr-xr-T , 1354
 --wxr-xr-t , 1355
 --wxr-xrwT , 1356
 --wxr-xrwt , 1357
 --wxrw---T , 1360
 --wxrw---t , 1361
 --wxrw--wT , 1362
 --wxrw--wt , 1363
 --wxrw-r-T , 1364
 --wxrw-r-t , 1365
 --wxrw-rwT , 1366
 --wxrw-rwt , 1367
 --wxrwx--T , 1370
 --wxrwx--t , 1371
 --wxrwx-wT , 1372
 --wxrwx-wt , 1373
 --wxrwxr-T , 1374
 --wxrwxr-t , 1375
 --wxrwxrwT , 1376
 --wxrwxrwt , 1377
 -r-------T , 1400
 -r-------t , 1401
 -r------wT , 1402
 -r------wt , 1403
 -r-----r-T , 1404
 -r-----r-t , 1405
 -r-----rwT , 1406
 -r-----rwt , 1407
 -r----x--T , 1410
 -r----x--t , 1411
 -r----x-wT , 1412
 -r----x-wt , 1413
 -r----xr-T , 1414
 -r----xr-t , 1415
 -r----xrwT , 1416
 -r----xrwt , 1417
 -r---w---T , 1420
 -r---w---t , 1421
 -r---w--wT , 1422
 -r---w--wt , 1423
 -r---w-r-T , 1424
 -r---w-r-t , 1425
 -r---w-rwT , 1426
 -r---w-rwt , 1427
 -r---wx--T , 1430
 -r---wx--t , 1431
 -r---wx-wT , 1432
 -r---wx-wt , 1433
 -r---wxr-T , 1434
 -r---wxr-t , 1435
 -r---wxrwT , 1436
 -r---wxrwt , 1437
 -r--r----T , 1440
 -r--r----t , 1441
 -r--r---wT , 1442
 -r--r---wt , 1443
 -r--r--r-T , 1444
 -r--r--r-t , 1445
 -r--r--rwT , 1446
 -r--r--rwt , 1447
 -r--r-x--T , 1450
 -r--r-x--t , 1451
 -r--r-x-wT , 1452
 -r--r-x-wt , 1453
 -r--r-xr-T , 1454
 -r--r-xr-t , 1455
 -r--r-xrwT , 1456
 -r--r-xrwt , 1457
 -r--rw---T , 1460
 -r--rw---t , 1461
 -r--rw--wT , 1462
 -r--rw--wt , 1463
 -r--rw-r-T , 1464
 -r--rw-r-t , 1465
 -r--rw-rwT , 1466
 -r--rw-rwt , 1467
 -r--rwx--T , 1470
 -r--rwx--t , 1471
 -r--rwx-wT , 1472
 -r--rwx-wt , 1473
 -r--rwxr-T , 1474
 -r--rwxr-t , 1475
 -r--rwxrwT , 1476
 -r--rwxrwt , 1477
 -r-x-----T , 1500
 -r-x-----t , 1501
 -r-x----wT , 1502
 -r-x----wt , 1503
 -r-x---r-T , 1504
 -r-x---r-t , 1505
 -r-x---rwT , 1506
 -r-x---rwt , 1507
 -r-x--x--T , 1510
 -r-x--x--t , 1511
 -r-x--x-wT , 1512
 -r-x--x-wt , 1513
 -r-x--xr-T , 1514
 -r-x--xr-t , 1515
 -r-x--xrwT , 1516
 -r-x--xrwt , 1517
 -r-x-w---T , 1520
 -r-x-w---t , 1521
 -r-x-w--wT , 1522
 -r-x-w--wt , 1523
 -r-x-w-r-T , 1524
 -r-x-w-r-t , 1525
 -r-x-w-rwT , 1526
 -r-x-w-rwt , 1527
 -r-x-wx--T , 1530
 -r-x-wx--t , 1531
 -r-x-wx-wT , 1532
 -r-x-wx-wt , 1533
 -r-x-wxr-T , 1534
 -r-x-wxr-t , 1535
 -r-x-wxrwT , 1536
 -r-x-wxrwt , 1537
 -r-xr----T , 1540
 -r-xr----t , 1541
 -r-xr---wT , 1542
 -r-xr---wt , 1543
 -r-xr--r-T , 1544
 -r-xr--r-t , 1545
 -r-xr--rwT , 1546
 -r-xr--rwt , 1547
 -r-xr-x--T , 1550
 -r-xr-x--t , 1551
 -r-xr-x-wT , 1552
 -r-xr-x-wt , 1553
 -r-xr-xr-T , 1554
 -r-xr-xr-t , 1555
 -r-xr-xrwT , 1556
 -r-xr-xrwt , 1557
 -r-xrw---T , 1560
 -r-xrw---t , 1561
 -r-xrw--wT , 1562
 -r-xrw--wt , 1563
 -r-xrw-r-T , 1564
 -r-xrw-r-t , 1565
 -r-xrw-rwT , 1566
 -r-xrw-rwt , 1567
 -r-xrwx--T , 1570
 -r-xrwx--t , 1571
 -r-xrwx-wT , 1572
 -r-xrwx-wt , 1573
 -r-xrwxr-T , 1574
 -r-xrwxr-t , 1575
 -r-xrwxrwT , 1576
 -r-xrwxrwt , 1577
 -rw------T , 1600
 -rw------t , 1601
 -rw-----wT , 1602
 -rw-----wt , 1603
 -rw----r-T , 1604
 -rw----r-t , 1605
 -rw----rwT , 1606
 -rw----rwt , 1607
 -rw---x--T , 1610
 -rw---x--t , 1611
 -rw---x-wT , 1612
 -rw---x-wt , 1613
 -rw---xr-T , 1614
 -rw---xr-t , 1615
 -rw---xrwT , 1616
 -rw---xrwt , 1617
 -rw--w---T , 1620
 -rw--w---t , 1621
 -rw--w--wT , 1622
 -rw--w--wt , 1623
 -rw--w-r-T , 1624
 -rw--w-r-t , 1625
 -rw--w-rwT , 1626
 -rw--w-rwt , 1627
 -rw--wx--T , 1630
 -rw--wx--t , 1631
 -rw--wx-wT , 1632
 -rw--wx-wt , 1633
 -rw--wxr-T , 1634
 -rw--wxr-t , 1635
 -rw--wxrwT , 1636
 -rw--wxrwt , 1637
 -rw-r----T , 1640
 -rw-r----t , 1641
 -rw-r---wT , 1642
 -rw-r---wt , 1643
 -rw-r--r-T , 1644
 -rw-r--r-t , 1645
 -rw-r--rwT , 1646
 -rw-r--rwt , 1647
 -rw-r-x--T , 1650
 -rw-r-x--t , 1651
 -rw-r-x-wT , 1652
 -rw-r-x-wt , 1653
 -rw-r-xr-T , 1654
 -rw-r-xr-t , 1655
 -rw-r-xrwT , 1656
 -rw-r-xrwt , 1657
 -rw-rw---T , 1660
 -rw-rw---t , 1661
 -rw-rw--wT , 1662
 -rw-rw--wt , 1663
 -rw-rw-r-T , 1664
 -rw-rw-r-t , 1665
 -rw-rw-rwT , 1666
 -rw-rw-rwt , 1667
 -rw-rwx--T , 1670
 -rw-rwx--t , 1671
 -rw-rwx-wT , 1672
 -rw-rwx-wt , 1673
 -rw-rwxr-T , 1674
 -rw-rwxr-t , 1675
 -rw-rwxrwT , 1676
 -rw-rwxrwt , 1677
 -rwx-----T , 1700
 -rwx-----t , 1701
 -rwx----wT , 1702
 -rwx----wt , 1703
 -rwx---r-T , 1704
 -rwx---r-t , 1705
 -rwx---rwT , 1706
 -rwx---rwt , 1707
 -rwx--x--T , 1710
 -rwx--x--t , 1711
 -rwx--x-wT , 1712
 -rwx--x-wt , 1713
 -rwx--xr-T , 1714
 -rwx--xr-t , 1715
 -rwx--xrwT , 1716
 -rwx--xrwt , 1717
 -rwx-w---T , 1720
 -rwx-w---t , 1721
 -rwx-w--wT , 1722
 -rwx-w--wt , 1723
 -rwx-w-r-T , 1724
 -rwx-w-r-t , 1725
 -rwx-w-rwT , 1726
 -rwx-w-rwt , 1727
 -rwx-wx--T , 1730
 -rwx-wx--t , 1731
 -rwx-wx-wT , 1732
 -rwx-wx-wt , 1733
 -rwx-wxr-T , 1734
 -rwx-wxr-t , 1735
 -rwx-wxrwT , 1736
 -rwx-wxrwt , 1737
 -rwxr----T , 1740
 -rwxr----t , 1741
 -rwxr---wT , 1742
 -rwxr---wt , 1743
 -rwxr--r-T , 1744
 -rwxr--r-t , 1745
 -rwxr--rwT , 1746
 -rwxr--rwt , 1747
 -rwxr-x--T , 1750
 -rwxr-x--t , 1751
 -rwxr-x-wT , 1752
 -rwxr-x-wt , 1753
 -rwxr-xr-T , 1754
 -rwxr-xr-t , 1755
 -rwxr-xrwT , 1756
 -rwxr-xrwt , 1757
 -rwxrw---T , 1760
 -rwxrw---t , 1761
 -rwxrw--wT , 1762
 -rwxrw--wt , 1763
 -rwxrw-r-T , 1764
 -rwxrw-r-t , 1765
 -rwxrw-rwT , 1766
 -rwxrw-rwt , 1767
 -rwxrwx--T , 1770
 -rwxrwx--t , 1771
 -rwxrwx-wT , 1772
 -rwxrwx-wt , 1773
 -rwxrwxr-T , 1774
 -rwxrwxr-t , 1775
 -rwxrwxrwT , 1776
 -rwxrwxrwt , 1777
 ------S--- , 2000
 ------S--x , 2001
 ------S-w- , 2002
 ------S-wx , 2003
 ------Sr-- , 2004
 ------Sr-x , 2005
 ------Srw- , 2006
 ------Srwx , 2007
 ------s--- , 2010
 ------s--x , 2011
 ------s-w- , 2012
 ------s-wx , 2013
 ------sr-- , 2014
 ------sr-x , 2015
 ------srw- , 2016
 ------srwx , 2017
 -----wS--- , 2020
 -----wS--x , 2021
 -----wS-w- , 2022
 -----wS-wx , 2023
 -----wSr-- , 2024
 -----wSr-x , 2025
 -----wSrw- , 2026
 -----wSrwx , 2027
 -----ws--- , 2030
 -----ws--x , 2031
 -----ws-w- , 2032
 -----ws-wx , 2033
 -----wsr-- , 2034
 -----wsr-x , 2035
 -----wsrw- , 2036
 -----wsrwx , 2037
 ----r-S--- , 2040
 ----r-S--x , 2041
 ----r-S-w- , 2042
 ----r-S-wx , 2043
 ----r-Sr-- , 2044
 ----r-Sr-x , 2045
 ----r-Srw- , 2046
 ----r-Srwx , 2047
 ----r-s--- , 2050
 ----r-s--x , 2051
 ----r-s-w- , 2052
 ----r-s-wx , 2053
 ----r-sr-- , 2054
 ----r-sr-x , 2055
 ----r-srw- , 2056
 ----r-srwx , 2057
 ----rwS--- , 2060
 ----rwS--x , 2061
 ----rwS-w- , 2062
 ----rwS-wx , 2063
 ----rwSr-- , 2064
 ----rwSr-x , 2065
 ----rwSrw- , 2066
 ----rwSrwx , 2067
 ----rws--- , 2070
 ----rws--x , 2071
 ----rws-w- , 2072
 ----rws-wx , 2073
 ----rwsr-- , 2074
 ----rwsr-x , 2075
 ----rwsrw- , 2076
 ----rwsrwx , 2077
 ---x--S--- , 2100
 ---x--S--x , 2101
 ---x--S-w- , 2102
 ---x--S-wx , 2103
 ---x--Sr-- , 2104
 ---x--Sr-x , 2105
 ---x--Srw- , 2106
 ---x--Srwx , 2107
 ---x--s--- , 2110
 ---x--s--x , 2111
 ---x--s-w- , 2112
 ---x--s-wx , 2113
 ---x--sr-- , 2114
 ---x--sr-x , 2115
 ---x--srw- , 2116
 ---x--srwx , 2117
 ---x-wS--- , 2120
 ---x-wS--x , 2121
 ---x-wS-w- , 2122
 ---x-wS-wx , 2123
 ---x-wSr-- , 2124
 ---x-wSr-x , 2125
 ---x-wSrw- , 2126
 ---x-wSrwx , 2127
 ---x-ws--- , 2130
 ---x-ws--x , 2131
 ---x-ws-w- , 2132
 ---x-ws-wx , 2133
 ---x-wsr-- , 2134
 ---x-wsr-x , 2135
 ---x-wsrw- , 2136
 ---x-wsrwx , 2137
 ---xr-S--- , 2140
 ---xr-S--x , 2141
 ---xr-S-w- , 2142
 ---xr-S-wx , 2143
 ---xr-Sr-- , 2144
 ---xr-Sr-x , 2145
 ---xr-Srw- , 2146
 ---xr-Srwx , 2147
 ---xr-s--- , 2150
 ---xr-s--x , 2151
 ---xr-s-w- , 2152
 ---xr-s-wx , 2153
 ---xr-sr-- , 2154
 ---xr-sr-x , 2155
 ---xr-srw- , 2156
 ---xr-srwx , 2157
 ---xrwS--- , 2160
 ---xrwS--x , 2161
 ---xrwS-w- , 2162
 ---xrwS-wx , 2163
 ---xrwSr-- , 2164
 ---xrwSr-x , 2165
 ---xrwSrw- , 2166
 ---xrwSrwx , 2167
 ---xrws--- , 2170
 ---xrws--x , 2171
 ---xrws-w- , 2172
 ---xrws-wx , 2173
 ---xrwsr-- , 2174
 ---xrwsr-x , 2175
 ---xrwsrw- , 2176
 ---xrwsrwx , 2177
 --w---S--- , 2200
 --w---S--x , 2201
 --w---S-w- , 2202
 --w---S-wx , 2203
 --w---Sr-- , 2204
 --w---Sr-x , 2205
 --w---Srw- , 2206
 --w---Srwx , 2207
 --w---s--- , 2210
 --w---s--x , 2211
 --w---s-w- , 2212
 --w---s-wx , 2213
 --w---sr-- , 2214
 --w---sr-x , 2215
 --w---srw- , 2216
 --w---srwx , 2217
 --w--wS--- , 2220
 --w--wS--x , 2221
 --w--wS-w- , 2222
 --w--wS-wx , 2223
 --w--wSr-- , 2224
 --w--wSr-x , 2225
 --w--wSrw- , 2226
 --w--wSrwx , 2227
 --w--ws--- , 2230
 --w--ws--x , 2231
 --w--ws-w- , 2232
 --w--ws-wx , 2233
 --w--wsr-- , 2234
 --w--wsr-x , 2235
 --w--wsrw- , 2236
 --w--wsrwx , 2237
 --w-r-S--- , 2240
 --w-r-S--x , 2241
 --w-r-S-w- , 2242
 --w-r-S-wx , 2243
 --w-r-Sr-- , 2244
 --w-r-Sr-x , 2245
 --w-r-Srw- , 2246
 --w-r-Srwx , 2247
 --w-r-s--- , 2250
 --w-r-s--x , 2251
 --w-r-s-w- , 2252
 --w-r-s-wx , 2253
 --w-r-sr-- , 2254
 --w-r-sr-x , 2255
 --w-r-srw- , 2256
 --w-r-srwx , 2257
 --w-rwS--- , 2260
 --w-rwS--x , 2261
 --w-rwS-w- , 2262
 --w-rwS-wx , 2263
 --w-rwSr-- , 2264
 --w-rwSr-x , 2265
 --w-rwSrw- , 2266
 --w-rwSrwx , 2267
 --w-rws--- , 2270
 --w-rws--x , 2271
 --w-rws-w- , 2272
 --w-rws-wx , 2273
 --w-rwsr-- , 2274
 --w-rwsr-x , 2275
 --w-rwsrw- , 2276
 --w-rwsrwx , 2277
 --wx--S--- , 2300
 --wx--S--x , 2301
 --wx--S-w- , 2302
 --wx--S-wx , 2303
 --wx--Sr-- , 2304
 --wx--Sr-x , 2305
 --wx--Srw- , 2306
 --wx--Srwx , 2307
 --wx--s--- , 2310
 --wx--s--x , 2311
 --wx--s-w- , 2312
 --wx--s-wx , 2313
 --wx--sr-- , 2314
 --wx--sr-x , 2315
 --wx--srw- , 2316
 --wx--srwx , 2317
 --wx-wS--- , 2320
 --wx-wS--x , 2321
 --wx-wS-w- , 2322
 --wx-wS-wx , 2323
 --wx-wSr-- , 2324
 --wx-wSr-x , 2325
 --wx-wSrw- , 2326
 --wx-wSrwx , 2327
 --wx-ws--- , 2330
 --wx-ws--x , 2331
 --wx-ws-w- , 2332
 --wx-ws-wx , 2333
 --wx-wsr-- , 2334
 --wx-wsr-x , 2335
 --wx-wsrw- , 2336
 --wx-wsrwx , 2337
 --wxr-S--- , 2340
 --wxr-S--x , 2341
 --wxr-S-w- , 2342
 --wxr-S-wx , 2343
 --wxr-Sr-- , 2344
 --wxr-Sr-x , 2345
 --wxr-Srw- , 2346
 --wxr-Srwx , 2347
 --wxr-s--- , 2350
 --wxr-s--x , 2351
 --wxr-s-w- , 2352
 --wxr-s-wx , 2353
 --wxr-sr-- , 2354
 --wxr-sr-x , 2355
 --wxr-srw- , 2356
 --wxr-srwx , 2357
 --wxrwS--- , 2360
 --wxrwS--x , 2361
 --wxrwS-w- , 2362
 --wxrwS-wx , 2363
 --wxrwSr-- , 2364
 --wxrwSr-x , 2365
 --wxrwSrw- , 2366
 --wxrwSrwx , 2367
 --wxrws--- , 2370
 --wxrws--x , 2371
 --wxrws-w- , 2372
 --wxrws-wx , 2373
 --wxrwsr-- , 2374
 --wxrwsr-x , 2375
 --wxrwsrw- , 2376
 --wxrwsrwx , 2377
 -r----S--- , 2400
 -r----S--x , 2401
 -r----S-w- , 2402
 -r----S-wx , 2403
 -r----Sr-- , 2404
 -r----Sr-x , 2405
 -r----Srw- , 2406
 -r----Srwx , 2407
 -r----s--- , 2410
 -r----s--x , 2411
 -r----s-w- , 2412
 -r----s-wx , 2413
 -r----sr-- , 2414
 -r----sr-x , 2415
 -r----srw- , 2416
 -r----srwx , 2417
 -r---wS--- , 2420
 -r---wS--x , 2421
 -r---wS-w- , 2422
 -r---wS-wx , 2423
 -r---wSr-- , 2424
 -r---wSr-x , 2425
 -r---wSrw- , 2426
 -r---wSrwx , 2427
 -r---ws--- , 2430
 -r---ws--x , 2431
 -r---ws-w- , 2432
 -r---ws-wx , 2433
 -r---wsr-- , 2434
 -r---wsr-x , 2435
 -r---wsrw- , 2436
 -r---wsrwx , 2437
 -r--r-S--- , 2440
 -r--r-S--x , 2441
 -r--r-S-w- , 2442
 -r--r-S-wx , 2443
 -r--r-Sr-- , 2444
 -r--r-Sr-x , 2445
 -r--r-Srw- , 2446
 -r--r-Srwx , 2447
 -r--r-s--- , 2450
 -r--r-s--x , 2451
 -r--r-s-w- , 2452
 -r--r-s-wx , 2453
 -r--r-sr-- , 2454
 -r--r-sr-x , 2455
 -r--r-srw- , 2456
 -r--r-srwx , 2457
 -r--rwS--- , 2460
 -r--rwS--x , 2461
 -r--rwS-w- , 2462
 -r--rwS-wx , 2463
 -r--rwSr-- , 2464
 -r--rwSr-x , 2465
 -r--rwSrw- , 2466
 -r--rwSrwx , 2467
 -r--rws--- , 2470
 -r--rws--x , 2471
 -r--rws-w- , 2472
 -r--rws-wx , 2473
 -r--rwsr-- , 2474
 -r--rwsr-x , 2475
 -r--rwsrw- , 2476
 -r--rwsrwx , 2477
 -r-x--S--- , 2500
 -r-x--S--x , 2501
 -r-x--S-w- , 2502
 -r-x--S-wx , 2503
 -r-x--Sr-- , 2504
 -r-x--Sr-x , 2505
 -r-x--Srw- , 2506
 -r-x--Srwx , 2507
 -r-x--s--- , 2510
 -r-x--s--x , 2511
 -r-x--s-w- , 2512
 -r-x--s-wx , 2513
 -r-x--sr-- , 2514
 -r-x--sr-x , 2515
 -r-x--srw- , 2516
 -r-x--srwx , 2517
 -r-x-wS--- , 2520
 -r-x-wS--x , 2521
 -r-x-wS-w- , 2522
 -r-x-wS-wx , 2523
 -r-x-wSr-- , 2524
 -r-x-wSr-x , 2525
 -r-x-wSrw- , 2526
 -r-x-wSrwx , 2527
 -r-x-ws--- , 2530
 -r-x-ws--x , 2531
 -r-x-ws-w- , 2532
 -r-x-ws-wx , 2533
 -r-x-wsr-- , 2534
 -r-x-wsr-x , 2535
 -r-x-wsrw- , 2536
 -r-x-wsrwx , 2537
 -r-xr-S--- , 2540
 -r-xr-S--x , 2541
 -r-xr-S-w- , 2542
 -r-xr-S-wx , 2543
 -r-xr-Sr-- , 2544
 -r-xr-Sr-x , 2545
 -r-xr-Srw- , 2546
 -r-xr-Srwx , 2547
 -r-xr-s--- , 2550
 -r-xr-s--x , 2551
 -r-xr-s-w- , 2552
 -r-xr-s-wx , 2553
 -r-xr-sr-- , 2554
 -r-xr-sr-x , 2555
 -r-xr-srw- , 2556
 -r-xr-srwx , 2557
 -r-xrwS--- , 2560
 -r-xrwS--x , 2561
 -r-xrwS-w- , 2562
 -r-xrwS-wx , 2563
 -r-xrwSr-- , 2564
 -r-xrwSr-x , 2565
 -r-xrwSrw- , 2566
 -r-xrwSrwx , 2567
 -r-xrws--- , 2570
 -r-xrws--x , 2571
 -r-xrws-w- , 2572
 -r-xrws-wx , 2573
 -r-xrwsr-- , 2574
 -r-xrwsr-x , 2575
 -r-xrwsrw- , 2576
